,URL,Company_Name,Industry
0,https://en.wikipedia.org//wiki/American_Broadcasting_Company,American Broadcasting Company,media
1,https://en.wikipedia.org//wiki/ABM_Industries,ABM Industries,business services
2,https://en.wikipedia.org//wiki/About.com,About.com,media
3,https://en.wikipedia.org//wiki/Advance_Publications,Advance Publications,media
4,https://en.wikipedia.org//wiki/A%C3%A9ropostale_(clothing),A?ropostale (clothing),fashion
5,https://en.wikipedia.org//wiki/Alcoa,Alcoa,metal mining
6,https://en.wikipedia.org//wiki/Alleghany_Corp.,Alleghany Corp.,insurance
7,https://en.wikipedia.org//wiki/AllianceBernstein,AllianceBernstein,financial services
8,https://en.wikipedia.org//wiki/Ambac_Financial_Group,Ambac Financial Group,insurance
9,https://en.wikipedia.org//wiki/American_Environmental_Assessment_and_Solutions_Inc.,American Environmental Assessment and Solutions Inc.,environmental services
10,https://en.wikipedia.org//wiki/American_Express,American Express,financial services
11,https://en.wikipedia.org//wiki/American_International_Group,American International Group,insurance
12,https://en.wikipedia.org//wiki/American_Stock_Exchange,American Stock Exchange,financial exchanges
13,https://en.wikipedia.org//wiki/Ann_Taylor_(clothing_retailer),Ann Taylor (clothing retailer),fashion
14,https://en.wikipedia.org//wiki/Anna_Sui,Anna Sui,fashion
15,https://en.wikipedia.org//wiki/Annaly_Capital_Management,Annaly Capital Management,financial services
16,https://en.wikipedia.org//wiki/AOL,AOL,Internet
17,https://en.wikipedia.org//wiki/Apollo_Management,Apollo Management,financial services
18,https://en.wikipedia.org//wiki/Apple_Bank_for_Savings,Apple Bank for Savings,financial services
19,https://en.wikipedia.org//wiki/Asbury_Automotive_Group,Asbury Automotive Group,retail
20,https://en.wikipedia.org//wiki/Associated_Press,Associated Press,media
21,https://en.wikipedia.org//wiki/Assurant,Assurant,insurance
22,"https://en.wikipedia.org//wiki/Atari,_Inc._(Atari,_SA_subsidiary)","Atari, Inc. (Atari, SA subsidiary)",computers
23,https://en.wikipedia.org//wiki/Atlantic_Express_(bus_company),Atlantic Express (bus company),transportation
24,https://en.wikipedia.org//wiki/A.T._Kearney,A.T. Kearney,consulting
25,https://en.wikipedia.org//wiki/Avon_Products,Avon Products,fashion
26,https://en.wikipedia.org//wiki/AXA_Equitable_Life_Insurance_Company,AXA Equitable Life Insurance Company,insurance
27,https://en.wikipedia.org//wiki/B%26H_Photo_Video,B&H Photo Video,retail
28,https://en.wikipedia.org//wiki/Bank_of_America_Merrill_Lynch,Bank of America Merrill Lynch,financial services
29,https://en.wikipedia.org//wiki/Barstool_Sports,Barstool Sports,media
30,https://en.wikipedia.org//wiki/The_Bank_of_New_York_Mellon,The Bank of New York Mellon,financial services
31,https://en.wikipedia.org//wiki/Barnes_%26_Noble,Barnes & Noble,retail
32,https://en.wikipedia.org//wiki/Barneys_New_York,Barneys New York,retail
33,https://en.wikipedia.org//wiki/Bergdorf_Goodman,Bergdorf Goodman,retail
34,https://en.wikipedia.org//wiki/BlackRock,BlackRock,financial services
